Date Submitted,Workout Date,Activity Type,Calories Burned (kcal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace (min/mi),Avg Speed (mi/h),Max Speed (mi/h),Avg Heart Rate,Steps,Notes,Source,Link
"July 31, 2025","July 31, 2025",Run,107,1.28156,1953,25.3988,12.5331,2.36231,4.78733,,4920,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8643288501
"July 31, 2025","July 30, 2025",Run,114,0.992513,2757,46.2966,12.3932,1.29599,4.84136,,6787,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8643278492
"July 30, 2025","July 29, 2025",Run,95,1.05089,1797,28.4996,11.5414,2.10529,5.19867,,4502,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8642672313
"July 29, 2025","July 29, 2025",Run,88,0.803191,2018,41.8746,11.5183,1.43285,5.20911,,4982,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8641964322
"July 26, 2025","July 26, 2025",Run,70,0.737643,1396,31.5419,13.5076,1.90223,4.44193,,3482,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8640203470
"July 25, 2025","July 25, 2025",Run,152,1.55739,3083,32.9933,14.251,1.81855,4.21024,,7676,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8639615414
"July 25, 2025","July 24, 2025",Run,1816,1.18464,49018,689.633,9.46339,0.0870028,6.34022,,117466,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8639614913
"July 23, 2025","July 23, 2025",Run,69,0.708346,1406,33.0818,10.203,1.81369,5.88062,,3500,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8638606857
"July 23, 2025","July 23, 2025",Run,330,3.01537,1840,10.1701,7.87866,5.89964,7.61551,,4986,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8638388352
"July 23, 2025","July 23, 2025",Run,90,1.00623,1699,28.1414,13.8151,2.13209,4.34306,,4259,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8638298209
"July 22, 2025","July 22, 2025",Run,69,0.858624,1220,23.6813,7.38724,2.53365,8.12211,,3085,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8637930768
"July 22, 2025","July 22, 2025",Run,131,1.48105,2459,27.6717,10.6766,2.16828,5.61977,,6169,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8637584024
"July 21, 2025","July 21, 2025",Run,79,0.988159,1426,24.0515,12.1483,2.49465,4.93897,,3602,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8637252926
"July 21, 2025","July 21, 2025",Run,95,1.11948,1752,26.0835,9.58184,2.30031,6.26185,,4408,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8636952689
"July 20, 2025","July 20, 2025",Run,126,1.5909,2137,22.3877,11.0015,2.68004,5.45381,,5420,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8636561577
"July 19, 2025","July 19, 2025",Run,111,1.34267,2029,25.1861,13.4276,2.38227,4.46839,,5113,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8635737698
"July 18, 2025","July 18, 2025",Run,125,1.38507,2385,28.6988,13.1919,2.09068,4.54825,,5973,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8635073931
"July 17, 2025","July 17, 2025",Run,113,1.32771,2104,26.4114,10.3566,2.27174,5.79342,,5290,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8634487622
"July 16, 2025","July 16, 2025",Run,313,2.88525,1711,9.8836,7.97255,6.07066,7.52582,,4652,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8634142423
"July 16, 2025","July 16, 2025",Run,65,0.812012,1166,23.9323,11.4497,2.50707,5.24031,,2946,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8633936001
"July 15, 2025","July 15, 2025",Run,83,1.00326,1518,25.2178,8.10351,2.37927,7.4042,,3825,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8633479964
"July 15, 2025","July 15, 2025",Run,97,1.16905,1791,25.5336,13.7066,2.34985,4.37745,,4510,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8633190536
"July 14, 2025","July 14, 2025",Run,89,0.944244,1752,30.9242,13.5331,1.94023,4.43357,,4374,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8632754803
"July 14, 2025","July 14, 2025",Run,92,1.17482,1531,21.7197,12.771,2.76247,4.69813,,3890,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8632511732
"July 13, 2025","July 13, 2025",Run,136,1.73154,2241,21.5704,11.8028,2.78159,5.08352,,5696,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8631953269
"July 12, 2025","July 12, 2025",Run,106,1.34364,1798,22.3026,13.7967,2.69027,4.34886,,4561,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8631548475
"July 11, 2025","July 11, 2025",Run,436,4.06781,2349,9.62434,7.78663,6.23419,7.70552,,6408,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8630931183
"July 11, 2025","July 11, 2025",Run,79,0.940877,1445,25.5967,12.465,2.34405,4.81347,,3639,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8630721436
"July 10, 2025","July 10, 2025",Run,115,1.41833,2091,24.5712,12.392,2.44189,4.84182,,5276,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8630372063
"July 10, 2025","July 10, 2025",Run,106,1.21138,1982,27.2692,8.34317,2.20029,7.19151,,4975,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8630099394
"July 9, 2025","July 9, 2025",Run,172,2.15801,3051,23.5634,8.32147,2.54632,7.21026,,7716,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8629742950
"July 9, 2025","July 9, 2025",Run,80,0.945744,1490,26.258,12.7192,2.28502,4.71728,,3747,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8629461378
"July 8, 2025","July 8, 2025",Run,494,4.45896,2797,10.4546,7.84648,5.73909,7.64674,,7555,,Map My Fitness 5ndthvk6nz2wqm7zk59bj9e7j63dvdjh,http://www.mapmyfitness.com/workout/8629025737
